reward_model,model,price_per_million,relative_utility_improvement_percent,ci_low,ci_high,confidence,bootstrap_repetitions
fsfairx_llama3_rm,qwen35_9b,0.2,2.726215821123546,1.6008757631878243,4.035853564204311,0.95,1000
fsfairx_llama3_rm,qwen35_9b,0.5,3.4331930856317614,1.8629292004920364,5.221122175552342,0.95,1000
fsfairx_llama3_rm,qwen35_9b,1.0,2.023309031765829,0.40805984266714646,3.835535469874551,0.95,1000
fsfairx_llama3_rm,qwen35_9b,2.0,2.453370937690365,0.26778403830952824,4.898512714728412,0.95,1000
fsfairx_llama3_rm,qwen35_9b,5.0,-1.9629672864845873,-4.721514716489697,1.243187490229595,0.95,1000
fsfairx_llama3_rm,qwen35_9b,10.0,0.9711192708189392,-2.9403656229011914,5.37750492953925,0.95,1000
rm_mistral_7b,gemma3_4b,0.1,-0.9448151553513948,-1.644459031488304,-0.26389390501782023,0.95,1000
rm_mistral_7b,gemma3_4b,0.2,0.7882666140733572,-0.07387583293186337,1.6558179561982174,0.95,1000
rm_mistral_7b,gemma3_4b,0.5,0.49205433126765596,-0.8251112399942099,1.92226612465282,0.95,1000
rm_mistral_7b,gemma3_4b,1.0,0.16046695479693557,-1.5387737166766393,2.068683843091263,0.95,1000
rm_mistral_7b,gemma3_4b,2.0,0.3167565568663252,-1.850671233020809,2.5057645403439848,0.95,1000
rm_mistral_7b,gemma3_4b,5.0,-2.3999252395474535,-5.311951825474401,0.5188540863849624,0.95,1000
rm_mistral_7b,gemma3_4b,10.0,0.3311887528999183,-2.689278301440014,3.3216818277530984,0.95,1000
rm_mistral_7b,granite42_8b,0.1,-1.7560829161497744,-3.2932215604137727,-0.3141184679330316,0.95,1000
rm_mistral_7b,granite42_8b,0.2,-1.3707850336188974,-2.956807939785288,0.21777236746996756,0.95,1000
rm_mistral_7b,granite42_8b,0.5,-2.8931614660105143,-4.702810228279184,-0.9124411146494203,0.95,1000
rm_mistral_7b,granite42_8b,1.0,-1.511551594003295,-3.7235347587308505,0.7523659052370177,0.95,1000
rm_mistral_7b,granite42_8b,2.0,-2.293083956255275,-5.1099184816843035,0.5454369747096718,0.95,1000
rm_mistral_7b,granite42_8b,5.0,-2.2164738182608015,-6.134875249201389,1.3529052398882149,0.95,1000
rm_mistral_7b,granite42_8b,10.0,-0.593942907639071,-4.504757052557406,3.42372208579682,0.95,1000
rm_mistral_7b,ministral3_8b,0.1,-2.251951443973293,-3.361293323071098,-1.1107741891787992,0.95,1000
rm_mistral_7b,ministral3_8b,0.2,-0.39928304926309816,-1.7725008447033415,1.174267388015335,0.95,1000
rm_mistral_7b,ministral3_8b,0.5,-1.0802611403902813,-2.9061929825203516,0.6458588150016834,0.95,1000
rm_mistral_7b,ministral3_8b,1.0,0.6777330476497461,-1.2957949482832807,2.843504295943049,0.95,1000
rm_mistral_7b,ministral3_8b,2.0,-0.7976174734689552,-3.9857374357610187,2.4726264664780473,0.95,1000
rm_mistral_7b,ministral3_8b,5.0,-3.692196227214562,-7.31997396795394,0.03167232692487811,0.95,1000
rm_mistral_7b,ministral3_8b,10.0,0.3336459506069913,-3.2599367091474325,4.230896905024626,0.95,1000
rm_mistral_7b,qwen35_9b,0.1,-0.663256144272013,-1.6259715487876294,0.238976928050057,0.95,1000
rm_mistral_7b,qwen35_9b,0.2,0.07857818764927482,-1.1552168392621853,1.3511977908848911,0.95,1000
rm_mistral_7b,qwen35_9b,0.5,1.9600298274769554,0.6629875852792978,3.451381038596755,0.95,1000
rm_mistral_7b,qwen35_9b,1.0,-0.05646136284840815,-1.8975997502925808,1.7235785660694596,0.95,1000
rm_mistral_7b,qwen35_9b,2.0,0.4021866159887651,-1.9185840664003302,2.7662507176336666,0.95,1000
rm_mistral_7b,qwen35_9b,5.0,-0.8797998028663473,-3.796865859926323,2.238917748571563,0.95,1000
rm_mistral_7b,qwen35_9b,10.0,1.5391546772785052,-2.2260521919202967,5.735880970510804,0.95,1000
