task,problem_id,responses,mean_response_characters,generator
alpaca,90,960,1169.5697916666666,llama3.1_8b
alpaca,91,960,190.840625,llama3.1_8b
alpaca,92,960,2678.514583333333,llama3.1_8b
alpaca,93,960,2718.6354166666665,llama3.1_8b
alpaca,94,960,3709.6375,llama3.1_8b
alpaca,95,960,1069.228125,llama3.1_8b
alpaca,96,960,3597.015625,llama3.1_8b
alpaca,97,960,3744.884375,llama3.1_8b
alpaca,98,960,788.275,llama3.1_8b
alpaca,99,960,2524.967708333333,llama3.1_8b
rlhf,0,960,630.2635416666667,llama3.1_8b
rlhf,1,960,1666.975,llama3.1_8b
rlhf,2,960,2836.05625,llama3.1_8b
rlhf,3,960,82.46145833333334,llama3.1_8b
rlhf,4,960,105.85729166666667,llama3.1_8b
rlhf,5,960,2438.525,llama3.1_8b
rlhf,6,960,2629.3072916666665,llama3.1_8b
rlhf,7,960,2208.242708333333,llama3.1_8b
rlhf,8,960,515.009375,llama3.1_8b
rlhf,9,960,97.959375,llama3.1_8b
rlhf,10,960,1917.7302083333334,llama3.1_8b
rlhf,11,960,2291.2395833333335,llama3.1_8b
rlhf,12,960,72.61875,llama3.1_8b
rlhf,13,960,2445.278125,llama3.1_8b
rlhf,14,960,3153.3,llama3.1_8b
rlhf,15,960,1435.9864583333333,llama3.1_8b
rlhf,16,960,2560.8958333333335,llama3.1_8b
rlhf,17,960,1593.9322916666667,llama3.1_8b
rlhf,18,960,2509.9395833333333,llama3.1_8b
rlhf,19,960,2954.2947916666667,llama3.1_8b
rlhf,20,960,1797.3739583333333,llama3.1_8b
rlhf,21,960,1955.9020833333334,llama3.1_8b
rlhf,22,960,2552.084375,llama3.1_8b
rlhf,23,960,2297.498958333333,llama3.1_8b
rlhf,24,960,3381.90625,llama3.1_8b
rlhf,25,960,797.9927083333333,llama3.1_8b
rlhf,26,960,580.734375,llama3.1_8b
rlhf,27,960,59.20104166666667,llama3.1_8b
rlhf,28,960,2497.684375,llama3.1_8b
rlhf,29,960,1646.203125,llama3.1_8b
rlhf,30,960,2775.5958333333333,llama3.1_8b
rlhf,31,960,2664.3927083333333,llama3.1_8b
rlhf,32,960,2276.11875,llama3.1_8b
rlhf,33,960,2327.8260416666667,llama3.1_8b
rlhf,34,960,2790.9,llama3.1_8b
rlhf,35,960,961.4520833333333,llama3.1_8b
rlhf,36,960,2979.2395833333335,llama3.1_8b
rlhf,37,960,154.32604166666667,llama3.1_8b
rlhf,38,960,3256.7635416666667,llama3.1_8b
rlhf,39,960,2675.090625,llama3.1_8b
rlhf,40,960,2363.9625,llama3.1_8b
rlhf,41,960,452.465625,llama3.1_8b
rlhf,42,960,2379.715625,llama3.1_8b
rlhf,43,960,2198.634375,llama3.1_8b
rlhf,44,960,3099.88125,llama3.1_8b
rlhf,45,960,1854.1010416666666,llama3.1_8b
rlhf,46,960,319.21875,llama3.1_8b
rlhf,47,960,883.4958333333333,llama3.1_8b
rlhf,48,960,1997.8458333333333,llama3.1_8b
rlhf,49,960,2473.305208333333,llama3.1_8b
rlhf,50,960,119.45625,llama3.1_8b
rlhf,51,960,2442.0427083333334,llama3.1_8b
rlhf,52,960,115.5,llama3.1_8b
rlhf,53,960,2417.015625,llama3.1_8b
rlhf,54,960,2997.2364583333333,llama3.1_8b
rlhf,55,960,2168.2322916666667,llama3.1_8b
rlhf,56,960,2034.7052083333333,llama3.1_8b
rlhf,57,960,3059.694791666667,llama3.1_8b
rlhf,58,960,3074.1270833333333,llama3.1_8b
rlhf,59,960,158.11041666666668,llama3.1_8b
rlhf,60,960,89.08645833333334,llama3.1_8b
rlhf,61,960,2222.288541666667,llama3.1_8b
rlhf,62,960,2377.852083333333,llama3.1_8b
rlhf,63,960,1560.5760416666667,llama3.1_8b
rlhf,64,960,3136.6697916666667,llama3.1_8b
rlhf,65,960,2031.5947916666667,llama3.1_8b
rlhf,66,960,2150.194791666667,llama3.1_8b
rlhf,67,960,1800.2677083333333,llama3.1_8b
rlhf,68,960,2250.4166666666665,llama3.1_8b
rlhf,69,960,1586.9270833333333,llama3.1_8b
rlhf,70,960,2436.8708333333334,llama3.1_8b
rlhf,71,960,3023.5739583333334,llama3.1_8b
rlhf,72,960,2267.3083333333334,llama3.1_8b
rlhf,73,960,2422.48125,llama3.1_8b
rlhf,74,960,2538.2552083333335,llama3.1_8b
rlhf,75,960,1704.765625,llama3.1_8b
rlhf,76,960,122.521875,llama3.1_8b
rlhf,77,960,1310.39375,llama3.1_8b
rlhf,78,960,2482.01875,llama3.1_8b
rlhf,79,960,1688.29375,llama3.1_8b
rlhf,80,960,2910.2552083333335,llama3.1_8b
rlhf,81,960,2036.7666666666667,llama3.1_8b
rlhf,82,960,168.21458333333334,llama3.1_8b
rlhf,83,960,1777.5427083333334,llama3.1_8b
rlhf,84,960,86.77395833333334,llama3.1_8b
rlhf,85,960,2106.8614583333333,llama3.1_8b
rlhf,86,960,826.41875,llama3.1_8b
rlhf,87,960,2627.391666666667,llama3.1_8b
rlhf,88,960,221.49791666666667,llama3.1_8b
rlhf,89,960,3051.9375,llama3.1_8b
rlhf,90,960,2540.305208333333,llama3.1_8b
rlhf,91,960,2578.0364583333335,llama3.1_8b
rlhf,92,960,87.46770833333333,llama3.1_8b
rlhf,93,960,1138.178125,llama3.1_8b
rlhf,94,960,1992.5635416666667,llama3.1_8b
rlhf,95,960,2304.6697916666667,llama3.1_8b
rlhf,96,960,2715.678125,llama3.1_8b
rlhf,97,960,2372.4427083333335,llama3.1_8b
rlhf,98,960,1437.1125,llama3.1_8b
rlhf,99,960,2362.2395833333335,llama3.1_8b
coding,1883_B,512,665.48046875,coding_experiment_cache
coding,1899_B,512,262.1875,coding_experiment_cache
coding,1899_C,512,416.880859375,coding_experiment_cache
coding,2786,512,449.48828125,coding_experiment_cache
coding,2802,512,536.525390625,coding_experiment_cache
coding,2811,512,310.681640625,coding_experiment_cache
coding,2817,512,214.31640625,coding_experiment_cache
coding,2828,512,428.97265625,coding_experiment_cache
coding,2832,512,500.962890625,coding_experiment_cache
coding,2834,512,385.87890625,coding_experiment_cache
coding,2837,512,409.357421875,coding_experiment_cache
coding,2839,512,1257.421875,coding_experiment_cache
coding,2850,512,332.62109375,coding_experiment_cache
coding,2855,512,361.880859375,coding_experiment_cache
coding,2873,512,545.5625,coding_experiment_cache
coding,2877,512,900.958984375,coding_experiment_cache
coding,2879,512,680.2109375,coding_experiment_cache
coding,2882,512,397.130859375,coding_experiment_cache
coding,2883,512,835.4609375,coding_experiment_cache
coding,2887,512,388.26953125,coding_experiment_cache
coding,2891,512,403.470703125,coding_experiment_cache
coding,2915,512,457.73828125,coding_experiment_cache
coding,2953,512,380.16015625,coding_experiment_cache
coding,2954,512,703.263671875,coding_experiment_cache
coding,2979,512,479.494140625,coding_experiment_cache
coding,3018,512,323.056640625,coding_experiment_cache
coding,3033,512,511.23046875,coding_experiment_cache
coding,3106,512,368.6953125,coding_experiment_cache
coding,3150,512,616.18359375,coding_experiment_cache
coding,3151,512,363.6484375,coding_experiment_cache
coding,3174,512,193.361328125,coding_experiment_cache
coding,3195,512,276.3671875,coding_experiment_cache
coding,3210,512,533.921875,coding_experiment_cache
coding,3213,512,647.54296875,coding_experiment_cache
coding,3219,512,681.9375,coding_experiment_cache
coding,3228,512,573.1171875,coding_experiment_cache
coding,3230,512,299.541015625,coding_experiment_cache
coding,3231,512,475.1875,coding_experiment_cache
coding,3234,512,308.634765625,coding_experiment_cache
coding,3235,512,1165.814453125,coding_experiment_cache
coding,3239,512,498.68359375,coding_experiment_cache
coding,3245,512,547.986328125,coding_experiment_cache
coding,3265,512,635.71875,coding_experiment_cache
coding,3267,512,560.62109375,coding_experiment_cache
coding,3269,512,639.236328125,coding_experiment_cache
coding,3279,512,133.10546875,coding_experiment_cache
coding,3297,512,245.333984375,coding_experiment_cache
coding,3306,512,780.453125,coding_experiment_cache
coding,3308,512,534.314453125,coding_experiment_cache
coding,3328,512,452.7890625,coding_experiment_cache
coding,3329,512,564.48046875,coding_experiment_cache
coding,3337,512,199.880859375,coding_experiment_cache
coding,3346,512,513.328125,coding_experiment_cache
coding,3351,512,290.607421875,coding_experiment_cache
coding,3354,512,908.7265625,coding_experiment_cache
coding,3387,512,390.296875,coding_experiment_cache
coding,3395,512,461.60546875,coding_experiment_cache
coding,abc302_c,512,659.650390625,coding_experiment_cache
coding,abc302_d,512,327.44140625,coding_experiment_cache
coding,abc306_c,512,310.626953125,coding_experiment_cache
coding,abc308_d,512,1395.849609375,coding_experiment_cache
coding,abc310_c,512,319.50390625,coding_experiment_cache
coding,abc313_b,512,842.447265625,coding_experiment_cache
coding,abc319_d,512,604.55859375,coding_experiment_cache
coding,abc322_c,512,271.3125,coding_experiment_cache
coding,abc325_c,512,789.5234375,coding_experiment_cache
coding,abc326_c,512,313.869140625,coding_experiment_cache
coding,abc327_c,512,670.71875,coding_experiment_cache
coding,abc328_c,512,345.8671875,coding_experiment_cache
coding,abc328_d,512,72.591796875,coding_experiment_cache
coding,abc329_d,512,272.849609375,coding_experiment_cache
coding,abc330_d,512,653.193359375,coding_experiment_cache
coding,abc332_d,512,1655.205078125,coding_experiment_cache
coding,abc334_d,512,626.857421875,coding_experiment_cache
coding,abc337_c,512,283.544921875,coding_experiment_cache
coding,abc339_b,512,887.76171875,coding_experiment_cache
coding,abc339_c,512,162.96875,coding_experiment_cache
coding,abc343_c,512,275.96875,coding_experiment_cache
coding,abc344_c,512,595.177734375,coding_experiment_cache
coding,abc344_d,512,949.681640625,coding_experiment_cache
coding,abc348_c,512,528.4609375,coding_experiment_cache
coding,abc352_c,512,404.697265625,coding_experiment_cache
coding,abc355_c,512,671.572265625,coding_experiment_cache
