grid,divisor,grid_config_id,selected_splits,family,calibration,confidence_scale,reward_prior_strength,cost_prior_strength,cap_factor,tail_quantile,tail_decay
exp_tail_current,400000.0,22,1,shifted_exponential,bounded_identity,0.0,20.0,10.0,1.1,0.5,0.0
exp_tail_current,400000.0,132,1,shifted_exponential,bounded_identity,0.0,5.0,0.0,,0.75,0.0
exp_tail_current,400000.0,143,1,shifted_exponential,bounded_identity,0.0,20.0,0.0,1.3,0.75,0.0
exp_tail_current,500000.0,4,1,shifted_exponential,bounded_identity,0.0,5.0,0.0,1.5,0.5,0.0
exp_tail_current,500000.0,6,1,shifted_exponential,bounded_identity,0.0,5.0,0.0,,0.5,0.0
exp_tail_current,500000.0,21,1,shifted_exponential,bounded_identity,0.0,20.0,10.0,1.0,0.5,0.0
exp_tail_current,500000.0,138,1,shifted_exponential,bounded_identity,0.0,5.0,10.0,2.0,0.75,0.0
exp_tail_current,500000.0,141,1,shifted_exponential,bounded_identity,0.0,20.0,0.0,1.1,0.75,0.0
exp_tail_current,600000.0,3,1,shifted_exponential,bounded_identity,0.0,5.0,0.0,1.3,0.5,0.0
exp_tail_current,600000.0,13,1,shifted_exponential,bounded_identity,0.0,5.0,10.0,,0.5,0.0
exp_tail_current,600000.0,91,1,shifted_exponential,bounded_identity,0.8,5.0,10.0,1.0,0.5,0.0
exp_tail_current,600000.0,140,1,shifted_exponential,bounded_identity,0.0,20.0,0.0,1.0,0.75,0.0
exp_tail_current,600000.0,181,1,shifted_exponential,bounded_identity,0.2,5.0,10.0,,0.75,0.0
exp_tail_current,700000.0,2,1,shifted_exponential,bounded_identity,0.0,5.0,0.0,1.2,0.5,0.0
exp_tail_current,700000.0,13,1,shifted_exponential,bounded_identity,0.0,5.0,10.0,,0.5,0.0
exp_tail_current,700000.0,26,1,shifted_exponential,bounded_identity,0.0,20.0,10.0,2.0,0.5,0.0
exp_tail_current,700000.0,28,1,shifted_exponential,bounded_identity,0.0,1000000.0,0.0,1.0,0.5,0.0
exp_tail_current,700000.0,157,1,shifted_exponential,bounded_identity,0.0,1000000.0,0.0,1.3,0.75,0.0
exp_tail_current,800000.0,8,1,shifted_exponential,bounded_identity,0.0,5.0,10.0,1.1,0.5,0.0
exp_tail_current,800000.0,12,1,shifted_exponential,bounded_identity,0.0,5.0,10.0,2.0,0.5,0.0
exp_tail_current,800000.0,100,1,shifted_exponential,bounded_identity,0.8,20.0,0.0,1.2,0.5,0.0
exp_tail_current,800000.0,167,1,shifted_exponential,bounded_identity,0.0,1000000.0,10.0,,0.75,0.0
exp_tail_current,800000.0,173,1,shifted_exponential,bounded_identity,0.2,5.0,0.0,2.0,0.75,0.0
exp_tail_current,900000.0,0,1,shifted_exponential,bounded_identity,0.0,5.0,0.0,1.0,0.5,0.0
exp_tail_current,900000.0,5,1,shifted_exponential,bounded_identity,0.0,5.0,0.0,2.0,0.5,0.0
exp_tail_current,900000.0,103,1,shifted_exponential,bounded_identity,0.8,20.0,0.0,2.0,0.5,0.0
exp_tail_current,900000.0,166,1,shifted_exponential,bounded_identity,0.0,1000000.0,10.0,2.0,0.75,0.0
exp_tail_current,900000.0,173,1,shifted_exponential,bounded_identity,0.2,5.0,0.0,2.0,0.75,0.0
exp_tail_current,1000000.0,0,1,shifted_exponential,bounded_identity,0.0,5.0,0.0,1.0,0.5,0.0
exp_tail_current,1000000.0,11,1,shifted_exponential,bounded_identity,0.0,5.0,10.0,1.5,0.5,0.0
exp_tail_current,1000000.0,82,1,shifted_exponential,bounded_identity,0.2,1000000.0,10.0,2.0,0.5,0.0
exp_tail_current,1000000.0,201,1,shifted_exponential,bounded_identity,0.2,1000000.0,0.0,2.0,0.75,0.0
exp_tail_current,1000000.0,208,1,shifted_exponential,bounded_identity,0.2,1000000.0,10.0,2.0,0.75,0.0
exp_tail_uncapped_decay,100000.0,97,1,shifted_exponential,bounded_identity,0.2,5.0,0.0,,0.75,0.25
exp_tail_uncapped_decay,100000.0,106,1,shifted_exponential,bounded_identity,0.2,20.0,0.0,,0.75,0.5
exp_tail_uncapped_decay,100000.0,107,1,shifted_exponential,bounded_identity,0.2,20.0,0.0,,0.75,1.0
exp_tail_uncapped_decay,100000.0,119,1,shifted_exponential,bounded_identity,0.2,1000000.0,10.0,,0.75,1.0
exp_tail_uncapped_decay,100000.0,125,1,shifted_exponential,bounded_identity,0.8,5.0,10.0,,0.75,0.25
exp_tail_uncapped_decay,200000.0,18,1,shifted_exponential,bounded_identity,0.0,1000000.0,0.0,,0.5,0.5
exp_tail_uncapped_decay,200000.0,35,1,shifted_exponential,bounded_identity,0.2,20.0,0.0,,0.5,1.0
exp_tail_uncapped_decay,200000.0,76,1,shifted_exponential,bounded_identity,0.0,5.0,10.0,,0.75,0.0
exp_tail_uncapped_decay,200000.0,96,1,shifted_exponential,bounded_identity,0.2,5.0,0.0,,0.75,0.0
exp_tail_uncapped_decay,200000.0,123,1,shifted_exponential,bounded_identity,0.8,5.0,0.0,,0.75,1.0
exp_tail_uncapped_decay,300000.0,4,1,shifted_exponential,bounded_identity,0.0,5.0,10.0,,0.5,0.0
exp_tail_uncapped_decay,300000.0,51,1,shifted_exponential,bounded_identity,0.8,5.0,0.0,,0.5,1.0
exp_tail_uncapped_decay,300000.0,77,1,shifted_exponential,bounded_identity,0.0,5.0,10.0,,0.75,0.25
exp_tail_uncapped_decay,300000.0,106,1,shifted_exponential,bounded_identity,0.2,20.0,0.0,,0.75,0.5
exp_tail_uncapped_decay,300000.0,118,1,shifted_exponential,bounded_identity,0.2,1000000.0,10.0,,0.75,0.5
exp_tail_uncapped_decay,400000.0,13,1,shifted_exponential,bounded_identity,0.0,20.0,10.0,,0.5,0.25
exp_tail_uncapped_decay,400000.0,55,1,shifted_exponential,bounded_identity,0.8,5.0,10.0,,0.5,1.0
exp_tail_uncapped_decay,400000.0,72,1,shifted_exponential,bounded_identity,0.0,5.0,0.0,,0.75,0.0
exp_tail_uncapped_decay,400000.0,94,1,shifted_exponential,bounded_identity,0.0,1000000.0,10.0,,0.75,0.5
exp_tail_uncapped_decay,400000.0,117,1,shifted_exponential,bounded_identity,0.2,1000000.0,10.0,,0.75,0.25
exp_tail_uncapped_decay,500000.0,5,1,shifted_exponential,bounded_identity,0.0,5.0,10.0,,0.5,0.25
exp_tail_uncapped_decay,500000.0,51,1,shifted_exponential,bounded_identity,0.8,5.0,0.0,,0.5,1.0
exp_tail_uncapped_decay,500000.0,76,1,shifted_exponential,bounded_identity,0.0,5.0,10.0,,0.75,0.0
exp_tail_uncapped_decay,500000.0,89,1,shifted_exponential,bounded_identity,0.0,1000000.0,0.0,,0.75,0.25
exp_tail_uncapped_decay,500000.0,94,1,shifted_exponential,bounded_identity,0.0,1000000.0,10.0,,0.75,0.5
exp_tail_uncapped_decay,600000.0,1,1,shifted_exponential,bounded_identity,0.0,5.0,0.0,,0.5,0.25
exp_tail_uncapped_decay,600000.0,51,1,shifted_exponential,bounded_identity,0.8,5.0,0.0,,0.5,1.0
exp_tail_uncapped_decay,600000.0,89,1,shifted_exponential,bounded_identity,0.0,1000000.0,0.0,,0.75,0.25
exp_tail_uncapped_decay,600000.0,94,1,shifted_exponential,bounded_identity,0.0,1000000.0,10.0,,0.75,0.5
exp_tail_uncapped_decay,600000.0,135,1,shifted_exponential,bounded_identity,0.8,20.0,10.0,,0.75,1.0
exp_tail_uncapped_decay,700000.0,2,1,shifted_exponential,bounded_identity,0.0,5.0,0.0,,0.5,0.5
exp_tail_uncapped_decay,700000.0,22,1,shifted_exponential,bounded_identity,0.0,1000000.0,10.0,,0.5,0.5
exp_tail_uncapped_decay,700000.0,54,1,shifted_exponential,bounded_identity,0.8,5.0,10.0,,0.5,0.5
exp_tail_uncapped_decay,700000.0,97,1,shifted_exponential,bounded_identity,0.2,5.0,0.0,,0.75,0.25
exp_tail_uncapped_decay,700000.0,118,1,shifted_exponential,bounded_identity,0.2,1000000.0,10.0,,0.75,0.5
exp_tail_uncapped_decay,800000.0,35,1,shifted_exponential,bounded_identity,0.2,20.0,0.0,,0.5,1.0
exp_tail_uncapped_decay,800000.0,54,1,shifted_exponential,bounded_identity,0.8,5.0,10.0,,0.5,0.5
exp_tail_uncapped_decay,800000.0,94,1,shifted_exponential,bounded_identity,0.0,1000000.0,10.0,,0.75,0.5
exp_tail_uncapped_decay,800000.0,97,1,shifted_exponential,bounded_identity,0.2,5.0,0.0,,0.75,0.25
exp_tail_uncapped_decay,800000.0,118,1,shifted_exponential,bounded_identity,0.2,1000000.0,10.0,,0.75,0.5
exp_tail_uncapped_decay,900000.0,11,1,shifted_exponential,bounded_identity,0.0,20.0,0.0,,0.5,1.0
exp_tail_uncapped_decay,900000.0,54,1,shifted_exponential,bounded_identity,0.8,5.0,10.0,,0.5,0.5
exp_tail_uncapped_decay,900000.0,101,1,shifted_exponential,bounded_identity,0.2,5.0,10.0,,0.75,0.25
exp_tail_uncapped_decay,900000.0,118,1,shifted_exponential,bounded_identity,0.2,1000000.0,10.0,,0.75,0.5
exp_tail_uncapped_decay,900000.0,142,1,shifted_exponential,bounded_identity,0.8,1000000.0,10.0,,0.75,0.5
exp_tail_uncapped_decay,1000000.0,29,1,shifted_exponential,bounded_identity,0.2,5.0,10.0,,0.5,0.25
exp_tail_uncapped_decay,1000000.0,51,1,shifted_exponential,bounded_identity,0.8,5.0,0.0,,0.5,1.0
exp_tail_uncapped_decay,1000000.0,73,1,shifted_exponential,bounded_identity,0.0,5.0,0.0,,0.75,0.25
exp_tail_uncapped_decay,1000000.0,118,1,shifted_exponential,bounded_identity,0.2,1000000.0,10.0,,0.75,0.5
exp_tail_uncapped_decay,1000000.0,138,1,shifted_exponential,bounded_identity,0.8,1000000.0,0.0,,0.75,0.5
