model,reward_model,split_seed,price_per_million,profit,fixed_profit,profit_gain,profit_improvement_percent,quality,output_tokens,samples,fixed_n,fixed_quality,fixed_output_tokens,matched_fixed_tokens,matched_cost_saving_percent
gemma3_4b,fsfairx_llama3_rm,72,1.0,0.4702900073813435,0.4495761022108262,0.0207139051705173,4.6074302145187485,0.5132947498813435,43004.7425,114.6225,63,0.4976642247108262,48088.1225,63187.247901452676,31.940788801135113
gemma3_4b,fsfairx_llama3_rm,72,2.0,0.42876749091306077,0.40974662295318376,0.019020867959877008,4.6421048751511655,0.47512461091306074,23178.56,63.9,34,0.46162699795318374,25940.1875,32069.128923859513,27.723138177429274
gemma3_4b,fsfairx_llama3_rm,72,5.0,0.3709729789219742,0.35496760252190307,0.016005376400071103,4.5089682231165025,0.42135935392197416,10077.275,28.91,16,0.4159799025219031,12202.46,13421.838414343663,24.918817460724252
gemma3_4b,fsfairx_llama3_rm,72,10.0,0.3253552799184475,0.3037217402374648,0.021633539680982694,7.122815661489532,0.3817851549184475,5642.9875,15.9925,7,0.3570460652374648,5332.4325,7466.37867066321,24.421359417888254
gemma3_4b,fsfairx_llama3_rm,72,20.0,0.2815550983834947,0.2568612608308422,0.024693837552652476,9.613686965787641,0.35722199838349467,3783.345,9.275,5,0.3330632608308422,3810.1,5285.846280845145,28.424990077556945
gemma3_4b,fsfairx_llama3_rm,73,0.1,0.5586517013818625,0.557264944870737,0.0013867565111255198,0.24885048375816848,0.5894532568818625,308015.555,509.9475,505,0.5980732118707369,408082.67,316690.19730385346,2.7391571882253274
gemma3_4b,fsfairx_llama3_rm,73,0.2,0.5327733983500242,0.5282384565163823,0.004534941833641892,0.8585027798901365,0.5684775568500242,178520.7925,344.62,283,0.5739818220163824,228716.8275,201441.2487747807,11.37823380970332
gemma3_4b,fsfairx_llama3_rm,73,0.5,0.48976815030049903,0.48134535886845536,0.008422791432043664,1.749843698886788,0.530561890300499,81587.48,177.0625,133,0.5350906151184553,107490.5125,99229.58819850066,17.779080331573148
gemma3_4b,fsfairx_llama3_rm,73,1.0,0.45735488161240273,0.43829800139055736,0.019056880221845374,4.347927702472963,0.5018167616124027,44461.88,106.9875,75,0.49891239639055734,60614.395,62115.37491336099,28.420491606118816
gemma3_4b,fsfairx_llama3_rm,73,2.0,0.41886517953975605,0.4031763710402309,0.015688808499525142,3.8913015807564864,0.467167824539756,24151.3225,59.6025,40,0.4678361210402309,32329.875,31804.488196484184,24.06316256122053
gemma3_4b,fsfairx_llama3_rm,73,5.0,0.35533448905165627,0.34794557832039075,0.007388910731265519,2.1235823047194344,0.40799597655165626,10532.2975,26.8775,15,0.4086198658203908,12134.8575,11965.452994686048,11.977444525690107
gemma3_4b,fsfairx_llama3_rm,73,10.0,0.31395285979508547,0.29572540449741397,0.018227455297671502,6.163642020762168,0.3721113847950855,5815.8525,14.7375,11,0.38468465449741396,8895.925,7130.875766772444,18.44125896709663
gemma3_4b,fsfairx_llama3_rm,73,20.0,0.2688267318580603,0.25291396337874117,0.015912768479319106,6.291771425640733,0.34718998185806027,3918.1625,8.575,4,0.31772891337874115,3240.7475,4811.267447928724,18.56277909292302
gemma3_4b,fsfairx_llama3_rm,74,0.1,0.5567752584840412,0.5573311826470958,-0.0005559241630546108,-0.09974754335729032,0.5889720639840412,321968.055,510.6125,505,0.5987276456470958,413964.63,319744.67408353,-0.6953613606990539
gemma3_4b,fsfairx_llama3_rm,74,0.2,0.5303357856866512,0.5263818728945059,0.003953912792145298,0.7511491173514852,0.5674616036866512,185629.09,330.8375,269,0.5704928428945059,220554.85,200294.20545457385,7.321787178660976
gemma3_4b,fsfairx_llama3_rm,74,0.5,0.49103734769940055,0.481354755063832,0.009682592635568532,2.011529445530154,0.5333431376994006,84611.58,161.11,143,0.539983661313832,117257.8125,101837.4519295759,16.915065727968305
gemma3_4b,fsfairx_llama3_rm,74,1.0,0.4563392086516921,0.4417241116553979,0.014615096996294208,3.308648228760462,0.5027048486516921,46365.64,96.75,62,0.4925631866553979,50839.075,60109.274224376044,22.86441551943178
gemma3_4b,fsfairx_llama3_rm,74,2.0,0.4097877666566395,0.40252926652365995,0.007258500132979573,1.803222954610415,0.4601733216566395,25192.7775,54.495,40,0.46812535152365997,32798.0425,28570.21961417632,11.821547610717209
gemma3_4b,fsfairx_llama3_rm,74,5.0,0.34026731800290666,0.34080800198025046,-0.0005406839773438032,-0.15864767675705438,0.39457424300290667,10861.385,23.6825,15,0.4022757644802505,12293.5525,11256.628064880071,3.5112030228057645
gemma3_4b,fsfairx_llama3_rm,74,10.0,0.296531944998201,0.28743492181412905,0.009097023184071962,3.164898380007767,0.356019194998201,5948.725,12.7975,8,0.35290667181412905,6547.175,6832.809610364705,12.938815227979338
gemma3_4b,fsfairx_llama3_rm,74,20.0,0.2530185833400741,0.23781498341188964,0.015203599928184458,6.393037019813087,0.3319501833400741,3946.58,7.47,5,0.31972953341188964,4095.7275,4883.508136495715,19.18555493936438
gemma3_4b,fsfairx_llama3_rm,75,0.1,0.5645789055905499,0.5570962813621141,0.007482624228435819,1.3431474017634113,0.59672926834055,321503.6275,492.2225,523,0.6015276881121141,444314.0675,382700.7850898238,15.990862829157827
gemma3_4b,fsfairx_llama3_rm,75,0.2,0.5356466169450507,0.5304747545956955,0.005171862349355183,0.9749497604833144,0.5722310529450507,182922.18,308.9075,283,0.5785631245956955,240441.85,207332.2509732011,11.773407590291507
gemma3_4b,fsfairx_llama3_rm,75,0.5,0.4934622368560447,0.4854829512507657,0.007979285605278996,1.6435768928078114,0.5353584156060447,83792.3575,157.315,134,0.5424072612507657,113848.62,99556.94727877057,15.834746052053973
gemma3_4b,fsfairx_llama3_rm,75,1.0,0.45808899613390536,0.4481513503432396,0.00993764579066575,2.2174753647522194,0.5037280536339054,45639.0575,94.17,68,0.5059421178432396,57790.7675,55720.84364193003,18.093383881114576
gemma3_4b,fsfairx_llama3_rm,75,2.0,0.4176047611636038,0.4082816491073512,0.00932311205625258,2.2835001466845783,0.4670017111636038,24698.475,51.56,40,0.47623404910735123,33976.2,29284.64078492518,15.660652348810766
gemma3_4b,fsfairx_llama3_rm,75,5.0,0.3581757902894681,0.3489311057918956,0.009244684497572486,2.649429742467863,0.41152771528946813,10670.385,22.6825,16,0.41685994329189563,13585.7675,12545.625220328726,14.947363621943023
gemma3_4b,fsfairx_llama3_rm,75,10.0,0.3105242574981857,0.30139813413287403,0.009126123365311656,3.027929615943914,0.3697553074981857,5923.105,12.3625,9,0.37776150913287404,7636.3375,6718.606263518134,11.84027210878076
gemma3_4b,fsfairx_llama3_rm,75,20.0,0.26312563137518863,0.2485846755888177,0.014540955786370935,5.849498064161861,0.3441823313751886,4052.835,7.4125,4,0.3164411255888177,3392.8225,4696.424682249622,13.70382207303572
gemma3_4b,rm_mistral_7b,71,0.1,0.5553146736098846,0.5521668877775466,0.0031477858323379904,0.5700787030181624,0.5868646433598846,315499.6975,512.31,505,0.5934628432775466,412959.555,354020.49471244536,10.880951184403608
gemma3_4b,rm_mistral_7b,71,0.2,0.5312236362159152,0.5238370510201585,0.007386585195756634,1.4100921615550979,0.5673095187159152,180429.4125,339.865,254,0.5653825030201586,207727.26,212777.02452998966,15.202586887114988
gemma3_4b,rm_mistral_7b,71,0.5,0.4905706474755438,0.4797316333177583,0.010839014157785487,2.2593911689384227,0.5314838262255438,81826.3575,174.9975,107,0.5234774008177583,87491.535,97798.99984739718,16.33211216098369
gemma3_4b,rm_mistral_7b,71,1.0,0.456000780534946,0.4447488881111099,0.011251892423836118,2.529942788980082,0.500609995534946,44609.215,105.1725,68,0.5003660581111099,55617.17,55154.04707391832,19.118872745251092
gemma3_4b,rm_mistral_7b,71,2.0,0.4176457324579347,0.40688382935764256,0.010761903100292125,2.6449571901842854,0.46509619245793465,23725.23,57.42,36,0.46577263935764257,29444.405,28380.915202878223,16.404281432073308
gemma3_4b,rm_mistral_7b,71,5.0,0.3610201883174968,0.3556680254750323,0.005352162842464536,1.5048197923656916,0.41203957581749684,10203.8775,25.175,16,0.42110813797503227,13088.0225,11451.32437941831,10.89347256340385
gemma3_4b,rm_mistral_7b,71,10.0,0.3190433993136189,0.3115203435625005,0.00752305575111839,2.414948463745847,0.37587277431361893,5682.9375,13.5675,8,0.37695076856250054,6543.0425,6450.339789128175,11.897083164852884
gemma3_4b,rm_mistral_7b,71,20.0,0.2759128583939782,0.2654835137705714,0.010429344623406833,3.9284340015251513,0.35352610839397824,3880.6625,7.9475,4,0.3309259137705714,3272.12,4606.777372952917,15.761883289955513
gemma3_4b,rm_mistral_7b,72,0.1,0.5562022787317362,0.5511937128220344,0.005008565909701779,0.9086761683217728,0.5863447672317362,301424.885,533.2775,545,0.5927953343220345,416016.215,348720.25767689873,13.562553833829604
gemma3_4b,rm_mistral_7b,72,0.2,0.5357575676460475,0.5227786609818426,0.012978906664204981,2.4826772079466672,0.5702532661460475,172478.4925,358.8975,193,0.5522287344818425,147250.3675,218948.83295477228,21.224292373538955
gemma3_4b,rm_mistral_7b,72,0.5,0.49447343402454524,0.48400246863948093,0.010470965385064313,2.1634115657504682,0.5343045552745452,79662.2425,200.015,131,0.5340012736394809,99997.61,99284.15019270321,19.763383837821593
gemma3_4b,rm_mistral_7b,72,1.0,0.4631184442165755,0.44862209597886205,0.014496348237713452,3.2313050042895086,0.5065629867165755,43444.5425,118.815,62,0.49594529347886207,47323.1975,57365.69752477107,24.267385607504867
gemma3_4b,rm_mistral_7b,72,2.0,0.4259873461104211,0.41103311237545775,0.014954233734963351,3.6382065786717988,0.4723986711104211,23205.6625,65.0575,36,0.46595979737545773,27463.3425,30298.725456823184,23.410433441931623
gemma3_4b,rm_mistral_7b,72,5.0,0.3686115297329589,0.36002552406578275,0.008586005667176155,2.3848324891563375,0.41897182973295893,10072.06,28.765,16,0.4210378240657828,12202.46,11760.764223508697,14.358796685449505
gemma3_4b,rm_mistral_7b,72,10.0,0.3254649921756661,0.3110937645760438,0.014371227599622283,4.61958072969006,0.3816938921756661,5622.89,15.675,7,0.3644180895760438,5332.4325,6596.569814674207,14.76039581220282
gemma3_4b,rm_mistral_7b,72,20.0,0.2843752583778197,0.26962295988410273,0.014752298493716953,5.471454841997959,0.35994005837781967,3778.24,9.0825,5,0.3458249598841027,3810.1,4761.964375605103,20.65795327332959
gemma3_4b,rm_mistral_7b,73,0.1,0.5475082226085026,0.5443427742621899,0.003165448346312716,0.5815174731773027,0.5788245838585027,313163.6125,517.6375,520,0.5863659532621899,420231.79,344975.5406920133,9.221502523975833
gemma3_4b,rm_mistral_7b,73,0.2,0.5264743305548018,0.519231821319143,0.007242509235658723,1.3948508042628522,0.5622791570548018,179024.1325,344.5075,254,0.5602906533191431,205294.16,212904.52296382,15.913419777172821
gemma3_4b,rm_mistral_7b,73,0.5,0.48757851005354436,0.4788112963717042,0.008767213681840136,1.8310373519329195,0.5284718000535443,81786.58,185.1725,122,0.5281148538717042,98607.115,97262.40092542258,15.911411581633583
gemma3_4b,rm_mistral_7b,73,1.0,0.4520817768575814,0.4463375442315002,0.005744232626081203,1.2869705227176371,0.4964663093575814,44384.5325,110.025,68,0.5013054042315002,54967.86,50548.021089380156,12.19333310493349
gemma3_4b,rm_mistral_7b,73,2.0,0.41560384462339656,0.4072321448986069,0.008371699724789683,2.055756115930897,0.46312486962339655,23760.5125,60.14,38,0.46864636989860686,30707.1125,27216.092276489828,12.696825618403984
gemma3_4b,rm_mistral_7b,73,5.0,0.3598829419471707,0.3555180458635609,0.004364896083609793,1.2277565469306537,0.4115836669471707,10340.145,26.52,17,0.4242556208635609,13747.515,11125.90211263835,7.06241259974576
gemma3_4b,rm_mistral_7b,73,10.0,0.3247195753110923,0.31670301796529277,0.008016557345799535,2.5312538533112634,0.3816527753110923,5693.32,14.32,8,0.38148116796529274,6477.815,6497.628207273419,12.378489221237377
gemma3_4b,rm_mistral_7b,73,20.0,0.28012158197331793,0.26724341476013036,0.012878167213187575,4.818890383041479,0.35736648197331794,3862.245,8.3825,4,0.33205836476013034,3240.7475,4441.747395915855,13.046721127110972
gemma3_4b,rm_mistral_7b,74,0.1,0.5538691251955886,0.5501443194809642,0.003724805714624413,0.6770597428214101,0.5858932051955886,320240.8,507.295,395,0.5825222377309642,323779.1825,342754.15499363,6.568368221254217
gemma3_4b,rm_mistral_7b,74,0.2,0.5289302161078524,0.5236100882032059,0.005320127904646532,1.0160476324860004,0.5655040211078524,182869.025,323.1,261,0.5664046637032059,213972.8775,204489.65150878133,10.572968533741612
gemma3_4b,rm_mistral_7b,74,0.5,0.489363292019384,0.47960128762604504,0.009762004393338963,2.03544165647666,0.530691117019384,82655.65,157.3025,102,0.521416298876045,83630.0225,97821.93509111679,15.503971657266924
gemma3_4b,rm_mistral_7b,74,1.0,0.4526292957625589,0.44457580202797703,0.008053493734581862,1.8115006929853232,0.4976058607625589,44976.565,92.165,62,0.49541487702797704,50839.075,52215.44779708104,13.863488876343045
gemma3_4b,rm_mistral_7b,74,2.0,0.41499515423377115,0.4057759710632533,0.009219183170517842,2.2719884438600073,0.46316852423377114,24086.685,49.7425,34,0.4615429310632533,27883.48,27864.6886670726,13.55839181342452
gemma3_4b,rm_mistral_7b,74,5.0,0.3519775446075848,0.35132979798052516,0.000647746627059631,0.18436996542363787,0.4041788196075848,10440.255,22.0025,16,0.41692233548052515,13118.5075,11163.274052063209,6.476765227577486
gemma3_4b,rm_mistral_7b,74,10.0,0.3082196457849228,0.3004838188365675,0.007735826948355284,2.5744570800209323,0.3662172457849228,5799.76,12.0325,8,0.3659555688365675,6547.175,6571.1158414072415,11.738582305102863
gemma3_4b,rm_mistral_7b,74,20.0,0.2623631823853716,0.2542393926819092,0.008123789703462392,3.1953308327897263,0.3406661823853716,3915.15,7.105,5,0.3361539426819092,4095.7275,4453.580901638238,12.089842163643594
gemma3_4b,rm_mistral_7b,75,0.1,0.5546447583480342,0.5515161673737854,0.0031285909742487794,0.5672709449564338,0.5865402383480341,318954.8,492.6975,540,0.5973928728737854,458767.055,348128.35574493994,8.38011476615087
gemma3_4b,rm_mistral_7b,75,0.2,0.5306082972236945,0.5253630113909635,0.005245285832730984,0.9984117113314546,0.5666050837236946,179983.9325,307.865,238,0.5658093148909635,202231.5175,204106.97835779662,11.818824643765613
gemma3_4b,rm_mistral_7b,75,0.5,0.4904917900027198,0.4839742336718064,0.006517556330913388,1.346674239549101,0.5314273325027198,81871.085,154.075,124,0.5366454286718064,105342.39,94761.62717083198,13.603124551242129
gemma3_4b,rm_mistral_7b,75,1.0,0.45491495538458226,0.4485811989699498,0.006333756414632463,1.4119531601360666,0.4994642178845823,44549.2625,91.9275,65,0.5038185739699498,55237.375,50012.25498181844,10.923307664900273
gemma3_4b,rm_mistral_7b,75,2.0,0.4166505416691211,0.4064302505628531,0.010220291106267987,2.514648231059133,0.46447265166912105,23911.055,49.845,31,0.45908694556285307,26328.3475,28312.87657762132,15.547065892628332
gemma3_4b,rm_mistral_7b,75,5.0,0.35394486324538,0.35196257828839483,0.0019822849569851586,0.5632090112037118,0.40598461324538,10407.95,21.8025,16,0.41989141578839484,13585.7675,11466.431112049524,9.231129561640294
gemma3_4b,rm_mistral_7b,75,10.0,0.30817417804535474,0.30059734831096246,0.007576829734392276,2.520591008858197,0.36597147804535474,5779.73,11.825,9,0.3769607233109625,7636.3375,6374.743546620054,9.333921314145034
gemma3_4b,rm_mistral_7b,75,20.0,0.26431291110525634,0.2574579749949999,0.006854936110256449,2.6625456486207426,0.34449746110525636,4009.2275,7.0925,4,0.3253144249949999,3392.8225,4481.263773122068,10.533552520457945
gemma3_4b,skywork_llama31_8b,71,0.1,0.7445361924547851,0.8745853508900419,-0.13004915843525677,-14.869807538270479,0.757942204954785,134060.125,244.06,800,0.9400135936400419,654282.4275,142955.23718499174,6.222305919076609
gemma3_4b,skywork_llama31_8b,71,0.2,0.6509113570914895,0.8261384000696369,-0.1752270429781474,-21.210373826392427,0.6690153110914895,90519.77,165.2075,497,0.9074261915696369,406438.9575,103966.23408425933,12.933491534724295
